"Filename","Frame","Time (mins)","OpCode","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Activity","count"
"EP_RS2_A6_18June2025_GX032450.MP4",15019,31.9758,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","Passing",1
"EP_RS2_A6_18June2025_GX032450.MP4",15833,32.4285,"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.anolius","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",21479,5.9724,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Tetractenos.hamiltoni","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",22460,6.2451,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",27209,7.5656,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",27209,7.5656,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",40098,11.1495,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",42614,11.8491,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",47139,13.1073,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",48690,13.5385,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Feeding",1
"EP_RS2_B1_18June2025_GX010015.MP4",48953,13.6117,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",67528,18.7765,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",69134,19.2231,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
"EP_RS2_B1_18June2025_GX010015.MP4",70924,19.7208,"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","Passing",1
