Point measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday 26 May 2026 15:49:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,Sampling period,Date,Site,Treatment,Camera no.,,,,Family,Genus,Species,Code,Number,Stage,Activity,Comment
EP_RS2_A2_20Apr2026_GX028028.MP4,15199,20.2641,,,1051.51,496.72,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,776.56,1901.42,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,361.65,1384.88,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,443.39,1319.23,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,1037.89,1265.96,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,1000.73,1197.83,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,930.14,1030.61,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,889.27,950.09,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,964.82,885.68,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,382.71,519.02,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,756.74,649.08,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
EP_RS2_A2_20Apr2026_GX028028.MP4,17293,21.4286,,,1041.61,624.31,0,0,EP_RS2_A2_20Apr2026,SBP,,,6 months,20/04/2026,Ellery Punt,Rocky shore 2,A2,,,,Mullidae,Parupeneus,spilurus,37355015,1,AD,Passing,
