"Code","Frame","Time (mins)","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Stage","Activity","count"
"EP_RS2_A6_18June2025",15019,31.9758,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_A6_18June2025",15833,32.4285,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6","Omobranchus.anolius","AD","Passing",1
"EP_RS2_B1_18June2025",21479,5.9724,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Tetractenos.hamiltoni","AD","Passing",1
"EP_RS2_B1_18June2025",22460,6.2451,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",27209,7.5656,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",27209,7.5656,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",40098,11.1495,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",42614,11.8491,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",47139,13.1073,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",48690,13.5385,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Feeding",1
"EP_RS2_B1_18June2025",48953,13.6117,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",67528,18.7765,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B1_18June2025",69134,19.2231,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",70924,19.7208,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",71640,19.9199,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B1_18June2025",72827,20.25,"SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","Acanthopagrus.australis","AD","Passing",1
